,timestamp,Values_Type,GeneReal
332,2023_Q1_holidays_4h,HIDRAULICA,5845206.013333333
333,2023_Q1_holidays_4h,SOLAR,0.0
334,2023_Q1_holidays_4h,TERMICA,1359441.6855555556
335,2023_Q1_holidays_5h,COGENERADOR,101678.68333333333
336,2023_Q1_holidays_5h,EOLICA,19720.10111111111
337,2023_Q1_holidays_5h,HIDRAULICA,5819093.394444444
338,2023_Q1_holidays_5h,SOLAR,0.0
339,2023_Q1_holidays_5h,TERMICA,1302135.7455555554
340,2023_Q1_holidays_6h,COGENERADOR,98094.65666666668
341,2023_Q1_holidays_6h,EOLICA,18543.764444444445
342,2023_Q1_holidays_6h,HIDRAULICA,5782005.735555556
343,2023_Q1_holidays_6h,SOLAR,0.0
344,2023_Q1_holidays_6h,TERMICA,1275336.141111111
345,2023_Q1_holidays_7h,COGENERADOR,97601.83333333333
346,2023_Q1_holidays_7h,EOLICA,16261.321111111112
347,2023_Q1_holidays_7h,HIDRAULICA,5599943.701111112
348,2023_Q1_holidays_7h,SOLAR,13465.814444444444
349,2023_Q1_holidays_7h,TERMICA,1200194.788888889
350,2023_Q1_holidays_8h,COGENERADOR,98317.18333333333
351,2023_Q1_holidays_8h,EOLICA,15283.786666666669
352,2023_Q1_holidays_8h,HIDRAULICA,5668804.172222222
353,2023_Q1_holidays_8h,SOLAR,100060.41555555555
354,2023_Q1_holidays_8h,TERMICA,1217484.5
355,2023_Q1_holidays_9h,COGENERADOR,97427.44777777778
356,2023_Q1_holidays_9h,EOLICA,18658.252222222225
357,2023_Q1_holidays_9h,HIDRAULICA,5940043.238888889
358,2023_Q1_holidays_9h,SOLAR,190266.2811111111
359,2023_Q1_holidays_9h,TERMICA,1247851.471111111
360,2023_Q1_labor_0h,COGENERADOR,111519.5096
361,2023_Q1_labor_0h,EOLICA,24084.4076
362,2023_Q1_labor_0h,HIDRAULICA,6965645.7042
363,2023_Q1_labor_0h,SOLAR,0.0044
364,2023_Q1_labor_0h,TERMICA,1567717.9888
365,2023_Q1_labor_10h,COGENERADOR,103514.5294
366,2023_Q1_labor_10h,EOLICA,20190.7924
367,2023_Q1_labor_10h,HIDRAULICA,7658864.2882
368,2023_Q1_labor_10h,SOLAR,245976.49539999999
369,2023_Q1_labor_10h,TERMICA,1509978.523
370,2023_Q1_labor_11h,COGENERADOR,102321.49119999999
371,2023_Q1_labor_11h,EOLICA,21380.6878
372,2023_Q1_labor_11h,HIDRAULICA,7938570.7217999995
373,2023_Q1_labor_11h,SOLAR,269235.86559999996
374,2023_Q1_labor_11h,TERMICA,1542306.0618
375,2023_Q1_labor_12h,COGENERADOR,102299.9754
376,2023_Q1_labor_12h,EOLICA,22743.884
