,Date,DemaReal_Sistema,DemaCome_Sistema,Gene_Sistema,GeneIdea_Sistema,timestamp
4534,2023-06-07 22:00:00,10072604.21,10233392.29,10008534.54,10008534.54,2023_Q3_labor_22h
4535,2023-06-07 23:00:00,9423314.01,9577342.2,9291876.73,9297342.2,2023_Q3_labor_23h
4536,2023-06-08 00:00:00,8186078.92,8332788.03,8019300.55,8022788.03,2023_Q3_labor_0h
4537,2023-06-08 01:00:00,8297095.62,8450104.35,8000731.29,8000731.29,2023_Q3_labor_1h
4538,2023-06-08 02:00:00,8017578.36,8178656.39,7721930.13,7749656.39,2023_Q3_labor_2h
4539,2023-06-08 03:00:00,7847786.04,8003390.53,7544237.13,7693390.53,2023_Q3_labor_3h
4540,2023-06-08 04:00:00,7725599.15,7874797.28,7416528.29,7564797.28,2023_Q3_labor_4h
4541,2023-06-08 05:00:00,7896883.38,8037163.26,7578561.24,7631163.26,2023_Q3_labor_5h
4542,2023-06-08 06:00:00,8309438.2,8449289.43,7990253.81,7999289.43,2023_Q3_labor_6h
4543,2023-06-08 07:00:00,8475256.43,8617403.4,8157297.09,8167403.4,2023_Q3_labor_7h
4544,2023-06-08 08:00:00,8938872.05,9066610.59,8660784.66,8666610.59,2023_Q3_labor_8h
4545,2023-06-08 09:00:00,9352978.99,9506074.86,9235137.09,9236074.86,2023_Q3_labor_9h
4546,2023-06-08 10:00:00,9586858.54,9753921.22,9490042.0,9493921.22,2023_Q3_labor_10h
4547,2023-06-08 11:00:00,9868484.76,10039204.67,9772929.32,9779204.67,2023_Q3_labor_11h
4548,2023-06-08 12:00:00,9974942.15,10154527.56,9900184.09,9904527.56,2023_Q3_labor_12h
4549,2023-06-08 13:00:00,9727296.8,9908754.63,9644944.88,9648754.63,2023_Q3_labor_13h
4550,2023-06-08 14:00:00,9702748.84,9882199.03,9623049.07,9623049.07,2023_Q3_labor_14h
4551,2023-06-08 15:00:00,9829661.42,9963592.9,9727668.3,9733592.9,2023_Q3_labor_15h
4552,2023-06-08 16:00:00,9877098.64,10000658.16,9786849.79,9790658.16,2023_Q3_labor_16h
4553,2023-06-08 17:00:00,9754181.04,9910793.23,9646247.74,9650793.23,2023_Q3_labor_17h
4554,2023-06-08 18:00:00,9527924.4,9680519.81,9416722.48,9420519.81,2023_Q3_labor_18h
4555,2023-06-08 19:00:00,9983549.84,10146808.13,10094034.32,10096808.13,2023_Q3_labor_19h
4556,2023-06-08 20:00:00,10152247.49,10325091.38,10245589.3,10245589.3,2023_Q3_labor_20h
4557,2023-06-08 21:00:00,9924263.27,10100544.18,9997420.84,10000544.18,2023_Q3_labor_21h
4558,2023-06-08 22:00:00,9425885.82,9599757.99,9345520.64,9345520.64,2023_Q3_labor_22h
4559,2023-06-08 23:00:00,8768051.81,8915257.82,8642469.69,8645257.82,2023_Q3_labor_23h
4560,2023-06-09 00:00:00,8672349.23,8841664.48,8649871.43,8651664.48,2023_Q3_labor_0h
4561,2023-06-09 01:00:00,7793220.48,7935595.01,7695387.31,7705595.01,2023_Q3_labor_1h
4562,2023-06-09 02:00:00,7534651.25,7671200.3,7335400.5,7391200.3,2023_Q3_labor_2h
4563,2023-06-09 03:00:00,7372532.82,7509755.15,7104935.56,7219755.15,2023_Q3_labor_3h
4564,2023-06-09 04:00:00,7334791.9,7469581.66,7021157.02,7159581.66,2023_Q3_labor_4h
4565,2023-06-09 05:00:00,7516938.51,7666708.52,7218188.58,7218188.58,2023_Q3_labor_5h
4566,2023-06-09 06:00:00,7952491.64,8117055.71,7766819.2,7772055.71,2023_Q3_labor_6h
4567,2023-06-09 07:00:00,8188639.09,8343801.12,7913420.99,7913420.99,2023_Q3_labor_7h
4568,2023-06-09 08:00:00,8675734.66,8822764.24,8609000.19,8612764.24,2023_Q3_labor_8h
4569,2023-06-09 09:00:00,9140573.27,9297520.26,9236660.94,9242520.26,2023_Q3_labor_9h
4570,2023-06-09 10:00:00,9436093.45,9587593.38,9532459.4,9532593.38,2023_Q3_labor_10h
4571,2023-06-09 11:00:00,9776653.72,9943299.95,9940394.63,9943299.95,2023_Q3_labor_11h
4572,2023-06-09 12:00:00,9980852.63,10164204.36,10163858.17,10164204.36,2023_Q3_labor_12h
4573,2023-06-09 13:00:00,9963168.43,10146185.37,10081320.36,10081320.36,2023_Q3_labor_13h
4574,2023-06-09 14:00:00,10117369.43,10305976.12,10302794.66,10305976.12,2023_Q3_labor_14h
4575,2023-06-09 15:00:00,10320150.52,10479480.29,10479480.29,10479480.29,2023_Q3_labor_15h
4576,2023-06-09 16:00:00,10215102.13,10345844.97,10305544.83,10305544.83,2023_Q3_labor_16h
4577,2023-06-09 17:00:00,10143057.66,10293428.6,10180310.14,10183428.6,2023_Q3_labor_17h
4578,2023-06-09 18:00:00,9890098.95,10043705.08,9940224.55,9943705.08,2023_Q3_labor_18h
4579,2023-06-09 19:00:00,10255891.24,10408262.97,10408262.97,10408262.97,2023_Q3_labor_19h
4580,2023-06-09 20:00:00,10526706.59,10688451.44,10685924.82,10688451.44,2023_Q3_labor_20h
4581,2023-06-09 21:00:00,10303240.95,10470185.77,10469094.57,10470185.77,2023_Q3_labor_21h
4582,2023-06-09 22:00:00,9849427.9,10024334.54,9918426.53,9918426.53,2023_Q3_labor_22h
4583,2023-06-09 23:00:00,9232287.09,9403580.23,9241374.51,9243580.23,2023_Q3_labor_23h
4584,2023-06-10 00:00:00,8102574.47,8275483.63,8088456.75,8088456.75,2023_Q3_labor_0h
4585,2023-06-10 01:00:00,8181215.52,8338449.72,8128214.26,8128449.72,2023_Q3_labor_1h
4586,2023-06-10 02:00:00,7885686.1,8042713.65,7832028.3,8001713.65,2023_Q3_labor_2h
4587,2023-06-10 03:00:00,7674934.31,7829961.48,7682156.89,7829961.48,2023_Q3_labor_3h
4588,2023-06-10 04:00:00,7540745.62,7701228.61,7417059.72,7417059.72,2023_Q3_labor_4h
4589,2023-06-10 05:00:00,7568189.22,7727286.76,7421255.86,7421255.86,2023_Q3_labor_5h
4590,2023-06-10 06:00:00,7602705.57,7746598.72,7475734.34,7476598.72,2023_Q3_labor_6h
4591,2023-06-10 07:00:00,7842160.64,7982477.56,7676614.45,7676614.45,2023_Q3_labor_7h
4592,2023-06-10 08:00:00,8396268.47,8538540.91,8236063.4,8243540.91,2023_Q3_labor_8h
4593,2023-06-10 09:00:00,8962286.28,9132351.87,8844370.72,8957351.87,2023_Q3_labor_9h
4594,2023-06-10 10:00:00,9311935.55,9461167.36,9404887.78,9406167.36,2023_Q3_labor_10h
4595,2023-06-10 11:00:00,9628290.41,9773772.16,9733409.8,9733772.16,2023_Q3_labor_11h
4596,2023-06-10 12:00:00,9828640.47,9971632.42,9931704.26,9931704.26,2023_Q3_labor_12h
4597,2023-06-10 13:00:00,9746940.85,9894033.63,9862700.48,9874033.63,2023_Q3_labor_13h
4598,2023-06-10 14:00:00,9613387.05,9760708.46,9738870.3,9738870.3,2023_Q3_labor_14h
4599,2023-06-10 15:00:00,9448075.0,9587205.43,9521885.06,9521885.06,2023_Q3_labor_15h
4600,2023-06-10 16:00:00,9314130.92,9458220.52,9387215.52,9388220.52,2023_Q3_labor_16h
4601,2023-06-10 17:00:00,9135220.09,9296674.86,9204843.29,9204843.29,2023_Q3_labor_17h
4602,2023-06-10 18:00:00,9046456.91,9205784.39,9112525.01,9112525.01,2023_Q3_labor_18h
4603,2023-06-10 19:00:00,9593569.05,9748589.85,9748589.85,9748589.85,2023_Q3_labor_19h
4604,2023-06-10 20:00:00,9816431.99,9982384.84,9979315.17,9982384.84,2023_Q3_labor_20h
4605,2023-06-10 21:00:00,9531844.25,9698733.1,9687814.77,9687814.77,2023_Q3_labor_21h
4606,2023-06-10 22:00:00,9090994.95,9267611.97,9253342.71,9257611.97,2023_Q3_labor_22h
4607,2023-06-10 23:00:00,8572345.61,8739313.23,8650500.75,8650500.75,2023_Q3_labor_23h
4608,2023-06-11 00:00:00,8018403.73,8182413.92,7898803.72,7902413.92,2023_Q3_holidays_0h
4609,2023-06-11 01:00:00,7689030.43,7866556.75,7576378.15,7576556.75,2023_Q3_holidays_1h
4610,2023-06-11 02:00:00,7402785.88,7579005.28,7255406.44,7259005.28,2023_Q3_holidays_2h
4611,2023-06-11 03:00:00,7188856.68,7364046.74,7013651.59,7013651.59,2023_Q3_holidays_3h
4612,2023-06-11 04:00:00,7025988.32,7203800.96,6804281.27,6808800.96,2023_Q3_holidays_4h
4613,2023-06-11 05:00:00,6936172.49,7111711.11,6699495.23,6706711.11,2023_Q3_holidays_5h
4614,2023-06-11 06:00:00,6798244.88,6976746.19,6544578.6,6551746.19,2023_Q3_holidays_6h
4615,2023-06-11 07:00:00,6730892.87,6901542.44,6444130.14,6451542.44,2023_Q3_holidays_7h
4616,2023-06-11 08:00:00,7070432.21,7240781.73,6885161.26,6915781.73,2023_Q3_holidays_8h
4617,2023-06-11 09:00:00,7434441.28,7608608.26,7277422.7,7277422.7,2023_Q3_holidays_9h
4618,2023-06-11 10:00:00,7787997.04,8003846.17,7699465.64,7703846.17,2023_Q3_holidays_10h
4619,2023-06-11 11:00:00,8054237.39,8278080.31,8079034.39,8113080.31,2023_Q3_holidays_11h
4620,2023-06-11 12:00:00,8283597.36,8506240.29,8400338.24,8406240.29,2023_Q3_holidays_12h
4621,2023-06-11 13:00:00,8375458.58,8592818.91,8491396.89,8497818.91,2023_Q3_holidays_13h
4622,2023-06-11 14:00:00,8434556.56,8639803.1,8517027.97,8519803.1,2023_Q3_holidays_14h
4623,2023-06-11 15:00:00,8337195.16,8501836.32,8381525.49,8381525.49,2023_Q3_holidays_15h
4624,2023-06-11 16:00:00,8309060.13,8453275.55,8332088.43,8332088.43,2023_Q3_holidays_16h
