hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_Coconuco,2023_Q4_labor,1.823,0.03
H_Cocuyo,2023_Q1_holidays,0.37585999999999997,0.00013000000000000002
H_Cocuyo,2023_Q1_labor,0.38597000000000004,0.00013000000000000002
H_Cocuyo,2023_Q2_holidays,0.47256,0.03723
H_Cocuyo,2023_Q2_labor,0.47467000000000004,0.00158
H_Cocuyo,2023_Q3_holidays,0.37343,0.00074
H_Cocuyo,2023_Q3_labor,0.374745,0.00127
H_Cocuyo,2023_Q4_holidays,0.36657,0.01534
H_Cocuyo,2023_Q4_labor,0.373095,0.0014199999999999998
H_Coello,2023_Q1_holidays,0.935485,0.0002
H_Coello,2023_Q1_labor,0.956255,0.00106
H_Coello,2023_Q2_holidays,0.7828649999999999,0.0008100000000000001
H_Coello,2023_Q2_labor,0.80845,0.00011
H_Coello,2023_Q3_holidays,1.12298,0.00575
H_Coello,2023_Q3_labor,1.13591,0.00164
H_Coello,2023_Q4_holidays,0.9897199999999999,0.00115
H_Coello,2023_Q4_labor,1.00016,0.00035
H_Currucucue,2023_Q1_holidays,0.55792,0.00132
H_Currucucue,2023_Q1_labor,0.55638,0.00044
H_Currucucue,2023_Q2_holidays,0.5621,0.00264
H_Currucucue,2023_Q2_labor,0.5588,0.00022
H_Currucucue,2023_Q3_holidays,0.54373,0.00528
H_Currucucue,2023_Q3_labor,0.5445,0.00041999999999999996
H_Currucucue,2023_Q4_holidays,0.53009,0.0030800000000000003
H_Currucucue,2023_Q4_labor,0.52426,0.00022
H_ElBosque,2023_Q1_holidays,1.805925,0.00462
H_ElBosque,2023_Q1_labor,1.8183,0.00066
H_ElBosque,2023_Q2_holidays,1.699995,0.49137000000000003
H_ElBosque,2023_Q2_labor,1.75923,0.00033
H_ElBosque,2023_Q3_holidays,1.82721,0.56001
H_ElBosque,2023_Q3_labor,1.84173,0.0075899999999999995
H_ElBosque,2023_Q4_holidays,1.720125,0.02937
H_ElBosque,2023_Q4_labor,1.784805,0.01848
