Id,Values_MetricId,Values_MetricName,Values_Entity,Values_MaxDays,Values_Type,Values_Url,Values_Filter,Values_MetricUnits,Values_MetricDescription,Date
Sistema,CostRecPos,Costo Unitario Reconciliacion Positiva por SubArea,SubArea,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Positiva sin AGC ($) / Reconcilación Positiva sin AGC (kWh),2024-05-06
Sistema,CostRecNeg,Costo Unitario Reconciliacion Negativa por Area,Area,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Negativa sin AGC ($) / Reconcilación Negativa sin AGC (kWh),2024-05-06
Sistema,CostRecNeg,Costo Unitario Reconciliacion Negativa por SubArea,SubArea,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Negativa sin AGC ($) / Reconcilación Negativa sin AGC (kWh),2024-05-06
Sistema,CompContEnerSICEP,Compras en Contrato Energía en SICEP por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,CompContEnerSICEP,Compras en Contrato Energía en SICEP por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada mediante Contratos de largo plazo,2024-05-06
Sistema,VentContEnerSICEP,Ventas en Contrato Energía del SICEP por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energia vendida mediante Contratos de largo plazo,2024-05-06
Sistema,VentContEnerSICEP,Ventas en Contrato Energía del SICEP por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energia vendida mediante Contratos de largo plazo,2024-05-06
Sistema,DemaRealReg,Demanda Real Regulada Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público),2024-05-06
Sistema,DemaRealReg,Demanda Real Regulada Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público),2024-05-06
Sistema,DemaRealNoReg,Demanda Real No Regulada Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público),2024-05-06
