GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
H_GUATRON,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_ALBAN,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
S_Dulima,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Cauca,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Ferch2,pv_solar,Solar,Nordeste,200,1,.,1.0,0,.,.,.,.
S_Salado,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_AutJeans,pv_solar,Solar,Antioquia,200,1,.,1.0,0,.,.,.,.
S_AutPintuco,pv_solar,Solar,Antioquia,200,1,.,1.0,0,.,.,.,.
S_Palmira3,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Belmonte,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Termotasajero,pv_solar,Solar,Nordeste,200,1,.,1.0,0,.,.,.,.
S_Victoria_I,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Victoria_II,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_Flandes,pv_solar,Solar,Surocciden,200,1,.,1.0,0,.,.,.,.
S_BSLI,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_BSLII,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_BSLIII,pv_solar,Solar,Oriental,200,1,.,1.0,0,.,.,.,.
S_Espinal,pv_solar,Solar,Antioquia,200,1,.,1.0,0,.,.,.,.
JAGUAS,Hidro,Water,Antioquia,200,0,.,1.39,0,0.1601,0.006,.,.
LA TASAJERA,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
MERILECTRICA,Thermal,GASNACIO,Nordeste,200,0,9.0003,5.53,0,0.0304,0.0442,.,.
MIEL I,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
PAIPA 1,Thermal,CARBON,Nordeste,200,0,12.4335,8.62,0,0.0304,.,.,.
PAIPA 2,Thermal,CARBON,Nordeste,200,0,10.5569,8.62,0,0.0304,.,.,.
PAIPA 3,Thermal,CARBON,Nordeste,200,0,11.4369,8.62,0,0.0304,.,.,.
PAIPA 4,Thermal,CARBON,Nordeste,200,0,9.2991,8.62,0,0.0304,.,.,.
PLAYAS,Hidro,Water,Antioquia,200,0,.,1.39,0,0.1034,0.0101,.,.
PORCE II,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
PORCE III,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
PRADO,Hidro,Water,Surocciden,200,0,.,1.39,0,0.1455,0.0312,.,.
PRADO4,Hidro,Water,Surocciden,200,0,.,1.39,0,0.38,0.38,.,.
PROELECTRIC1,Thermal,GASNACIO,Caribe,200,0,8.2719,5.53,0,0.0304,0.0766,.,.
PROELECTRIC2,Thermal,GASNACIO,Caribe,200,0,8.0707,5.53,0,0.0304,0.0788,.,.
RIOGRANDE 1,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
SALTO II,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
SALVAJINA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.1947,0.1376,.,.
SAN CARLOS,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
SANFRANCISCO,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
SNMIGUEL,Hidro,Water,Antioquia,200,0,.,1.39,0,0.1,0.1,.,.
SOGAMOSO,Hidro,Water,Nordeste,200,0,.,1.39,0,0.15,0.15,.,.
T_ArgoCartag,Thermal,GASNACIO,Caribe,200,0,8.95,1.16,0,.,.,.,.
T_ArgosYumbo,Thermal,CARBON,Surocciden,200,0,15,1.16,0,.,.,.,.
T_AutArCairo,Thermal,CARBON,Antioquia,200,0,0.0,1.16,0,.,.,.,.
